net,sta,lat,lon,elev,name,t0,t1
Z6,84,47.569406,-122.301021,90.0,Converted from UTM Zone 10N,2019-07-14T19:59:19,2019-08-10T20:49:44
Z6,85,47.567864,-122.301905,94.0,Converted from UTM Zone 10N,2019-07-14T17:57:44,2019-08-10T21:25:51
Z6,86,47.566667,-122.301895,94.0,Converted from UTM Zone 10N,2019-07-14T19:36:04,2019-08-10T21:21:56
Z6,87,47.564594,-122.301337,94.0,Converted from UTM Zone 10N,2019-07-14T15:58:38,2019-08-10T20:01:31
Z6,906,47.574457,-122.291247,24.0,Converted from UTM Zone 10N,2019-07-13T00:09:13,2019-08-10T19:20:18
Z6,907,47.615562,-122.298982,75.0,Converted from UTM Zone 10N,2019-07-13T15:58:13,2019-08-11T00:36:29
Z6,908,47.613924,-122.298977,79.0,Converted from UTM Zone 10N,2019-07-13T16:45:18,2019-08-11T00:14:02
Z6,909,47.611308,-122.300769,91.0,Converted from UTM Zone 10N,2019-07-13T17:19:58,2019-08-11T00:06:50
Z6,910,47.609669,-122.300657,85.0,Converted from UTM Zone 10N,2019-07-13T17:54:05,2019-08-10T23:57:55
Z6,911,47.607397,-122.299903,85.0,Converted from UTM Zone 10N,2019-07-13T19:18:18,2019-08-10T23:50:54
Z6,912,47.60427,-122.300609,94.0,Converted from UTM Zone 10N,2019-07-13T20:04:37,2019-08-10T23:44:38
Z6,913,47.602812,-122.301986,94.0,Converted from UTM Zone 10N,2019-07-13T20:38:05,2019-08-10T23:37:46
Z6,914,47.601562,-122.300672,91.0,Converted from UTM Zone 10N,2019-07-13T21:17:18,2019-08-10T23:28:54
Z6,916,47.599902,-122.298459,82.0,Converted from UTM Zone 10N,2019-07-13T22:56:15,2019-08-10T23:22:34
Z6,918,47.596337,-122.299571,76.0,Converted from UTM Zone 10N,2019-07-14T00:20:40,2019-08-10T23:07:53
Z6,919,47.595161,-122.298616,65.0,Converted from UTM Zone 10N,2019-07-14T00:47:11,2019-08-11T16:59:35
